MORPHEMES,MORPHS,ZEROFILLED,RAW
LEVEÄ PL ILL,leveö.i.hin,leveö.i.hin,l e v e {äääääØö} {ij} {Øh} {V} n
LEVEÄ PL ILLsiin,leve.i.siin,leveØ.i.siin,l e v e {äääääØö} {ij} s i {iØ} n
VAPAA,vapaa,vapaØa,v a p a {ØØhØØhØh} {aaaaaaØØ} 
VAPAA GEN,vapaa.n,vapaØa.n,v a p a {ØØhØØhØh} {aaaaaaØØ} n
VAPAA GEN,vapaha.n,vapaha.n,v a p a {ØØhØØhØh} {aaaaaaØØ} n
VAPAA PTV,vapaa.ta,vapaØa.ta,v a p a {ØØhØØhØh} {aaaaaaØØ} {Øt} {aä}
VAPAA ESS,vapaa.na,vapaØa.na,v a p a {ØØhØØhØh} {aaaaaaØØ} {nrs} {aä}
VAPAA ESS,vapaha.na,vapaha.na,v a p a {ØØhØØhØh} {aaaaaaØØ} {nrs} {aä}
VAPAA ILL,vapaa.han,vapaØa.han,v a p a {ØØhØØhØh} {aaaaaaØØ} {Øh} {V} n
VAPAA ILLseen,vapaa.seen,vapaØa.seen,v a p a {ØØhØØhØh} {aaaaaaØØ} s e {Øe} n
VAPAA ILLseen,vapaha.sen,vapaha.seØn,v a p a {ØØhØØhØh} {aaaaaaØØ} s e {Øe} n
VAPAA PL INE,vapa.i.ssa,vapaØØ.i.ssa,v a p a {ØØhØØhØh} {aaaaaaØØ} {ij} s s {aä}
VAPAA PL INE,vapah.i.ssa,vapahØ.i.ssa,v a p a {ØØhØØhØh} {aaaaaaØØ} {ij} s s {aä}
VAPAA PL GENiden,vapa.i.den,vapaØØ.i.dØen,v a p a {ØØhØØhØh} {aaaaaaØØ} {ij} {dt} {Øt} e n
VAPAA PL GENiden,vapa.i.tten,vapaØØ.i.tten,v a p a {ØØhØØhØh} {aaaaaaØØ} {ij} {dt} {Øt} e n
VAPAA PL GENiden,vapah.i.tten,vapahØ.i.tten,v a p a {ØØhØØhØh} {aaaaaaØØ} {ij} {dt} {Øt} e n
VAPAA PL GENien,vapah.i.en,vapahØ.i.en,v a p a {ØØhØØhØh} {aaaaaaØØ} {ij} e n
VAPAA PL PTV,vapa.i.ta,vapaØØ.i.ta,v a p a {ØØhØØhØh} {aaaaaaØØ} {ij} {Øt} {aä}
VAPAA PL PTV,vapah.i.a,vapahØ.i.Øa,v a p a {ØØhØØhØh} {aaaaaaØØ} {ij} {Øt} {aä}
VAPAA PL ILLsiin,vapa.i.siin,vapaØØ.i.siin,v a p a {ØØhØØhØh} {aaaaaaØØ} {ij} s i {iØ} n
VAPAA PL ILLsiin,vapah.i.sin,vapahØ.i.siØn,v a p a {ØØhØØhØh} {aaaaaaØØ} {ij} s i {iØ} n
TIENOO,tienoo,tienoØo,t i e n o {ØØhØØhØh} {ooooooØØ} 
TIENOO GEN,tienoo.n,tienoØo.n,t i e n o {ØØhØØhØh} {ooooooØØ} n
TIENOO GEN,tienoho.n,tienoho.n,t i e n o {ØØhØØhØh} {ooooooØØ} n
TIENOO PTV,tienoo.ta,tienoØo.ta,t i e n o {ØØhØØhØh} {ooooooØØ} {Øt} {aä}
TIENOO ESS,tienoo.na,tienoØo.na,t i e n o {ØØhØØhØh} {ooooooØØ} {nrs} {aä}
TIENOO ESS,tienoho.na,tienoho.na,t i e n o {ØØhØØhØh} {ooooooØØ} {nrs} {aä}
TIENOO ILL,tienoo.hon,tienoØo.hon,t i e n o {ØØhØØhØh} {ooooooØØ} {Øh} {V} n
TIENOO ILLseen,tienoo.seen,tienoØo.seen,t i e n o {ØØhØØhØh} {ooooooØØ} s e {Øe} n
TIENOO ILLseen,tienoho.sen,tienoho.seØn,t i e n o {ØØhØØhØh} {ooooooØØ} s e {Øe} n
TIENOO PL INE,tieno.i.ssa,tienoØØ.i.ssa,t i e n o {ØØhØØhØh} {ooooooØØ} {ij} s s {aä}
TIENOO PL INE,tienoh.i.ssa,tienohØ.i.ssa,t i e n o {ØØhØØhØh} {ooooooØØ} {ij} s s {aä}
TIENOO PL GENiden,tieno.i.den,tienoØØ.i.dØen,t i e n o {ØØhØØhØh} {ooooooØØ} {ij} {dt} {Øt} e n
TIENOO PL GENiden,tieno.i.tten,tienoØØ.i.tten,t i e n o {ØØhØØhØh} {ooooooØØ} {ij} {dt} {Øt} e n
TIENOO PL GENiden,tienoh.i.tten,tienohØ.i.tten,t i e n o {ØØhØØhØh} {ooooooØØ} {ij} {dt} {Øt} e n
TIENOO PL GENien,tienoh.i.en,tienohØ.i.en,t i e n o {ØØhØØhØh} {ooooooØØ} {ij} e n
TIENOO PL PTV,tieno.i.ta,tienoØØ.i.ta,t i e n o {ØØhØØhØh} {ooooooØØ} {ij} {Øt} {aä}
TIENOO PL PTV,tienoh.i.a,tienohØ.i.Øa,t i e n o {ØØhØØhØh} {ooooooØØ} {ij} {Øt} {aä}
TIENOO PL ILL,tieno.i.hin,tienoØØ.i.hin,t i e n o {ØØhØØhØh} {ooooooØØ} {ij} {Øh} {V} n
TIENOO PL ILLsiin,tieno.i.siin,tienoØØ.i.siin,t i e n o {ØØhØØhØh} {ooooooØØ} {ij} s i {iØ} n
TIENOO PL ILLsiin,tienoh.i.sin,tienohØ.i.siØn,t i e n o {ØØhØØhØh} {ooooooØØ} {ij} s i {iØ} n
LEIKKUUU,leikkuu,leikkuu,l e i k k u {uuuuØ} 
LEIKKUUU GEN,leikkuu.n,leikkuu.n,l e i k k u {uuuuØ} n
LEIKKUUU PTV,leikkuu.ta,leikkuu.ta,l e i k k u {uuuuØ} {Øt} {aä}
LEIKKUUU ESS,leikkuu.na,leikkuu.na,l e i k k u {uuuuØ} {nrs} {aä}
LEIKKUUU ILL,leikkuu.hun,leikkuu.hun,l e i k k u {uuuuØ} {Øh} {V} n
LEIKKUUU ILLseen,leikkuu.seen,leikkuu.seen,l e i k k u {uuuuØ} s e {Øe} n
LEIKKUUU PL INE,leikku.i.ssa,leikkuØ.i.ssa,l e i k k u {uuuuØ} {ij} s s {aä}
LEIKKUUU PL GENiden,leikku.i.den,leikkuØ.i.dØen,l e i k k u {uuuuØ} {ij} {dt} {Øt} e n
LEIKKUUU PL GENiden,leikku.i.tten,leikkuØ.i.tten,l e i k k u {uuuuØ} {ij} {dt} {Øt} e n
LEIKKUUU PL PTV,leikku.i.ta,leikkuØ.i.ta,l e i k k u {uuuuØ} {ij} {Øt} {aä}
LEIKKUUU PL ILL,leikku.i.hin,leikkuØ.i.hin,l e i k k u {uuuuØ} {ij} {Øh} {V} n
LEIKKUUU PL ILLsiin,leikku.i.siin,leikkuØ.i.siin,l e i k k u {uuuuØ} {ij} s i {iØ} n
KAMEE,kamee,kamee,k a m e {eeeeØ} 
KAMEE GEN,kamee.n,kamee.n,k a m e {eeeeØ} n
KAMEE PTV,kamee.ta,kamee.ta,k a m e {eeeeØ} {Øt} {aä}
KAMEE ESS,kamee.na,kamee.na,k a m e {eeeeØ} {nrs} {aä}
KAMEE ILL,kamee.hen,kamee.hen,k a m e {eeeeØ} {Øh} {V} n
KAMEE ILLseen,kamee.seen,kamee.seen,k a m e {eeeeØ} s e {Øe} n
KAMEE PL INE,kame.i.ssa,kameØ.i.ssa,k a m e {eeeeØ} {ij} s s {aä}
KAMEE PL GENiden,kame.i.den,kameØ.i.dØen,k a m e {eeeeØ} {ij} {dt} {Øt} e n
KAMEE PL GENiden,kame.i.tten,kameØ.i.tten,k a m e {eeeeØ} {ij} {dt} {Øt} e n
KAMEE PL PTV,kame.i.ta,kameØ.i.ta,k a m e {eeeeØ} {ij} {Øt} {aä}
KAMEE PL ILL,kame.i.hin,kameØ.i.hin,k a m e {eeeeØ} {ij} {Øh} {V} n
KAMEE PL ILLsiin,kame.i.siin,kameØ.i.siin,k a m e {eeeeØ} {ij} s i {iØ} n
PII,pii,pii,p i {iiiiØ} 
PII GEN,pii.n,pii.n,p i {iiiiØ} n
PII PTV,pii.tä,pii.tä,p i {iiiiØ} {Øt} {aä}
PII ESS,pii.nä,pii.nä,p i {iiiiØ} {nrs} {aä}
PII ILL,pii.hin,pii.hin,p i {iiiiØ} {Øh} {V} n
PII PL INE,pi.i.ssä,piØ.i.ssä,p i {iiiiØ} {ij} s s {aä}
PII PL GENiden,pi.i.den,piØ.i.dØen,p i {iiiiØ} {ij} {dt} {Øt} e n
PII PL GENiden,pi.i.tten,piØ.i.tten,p i {iiiiØ} {ij} {dt} {Øt} e n
PII PL PTV,pi.i.tä,piØ.i.tä,p i {iiiiØ} {ij} {Øt} {aä}
PII PL ILL,pi.i.hin,piØ.i.hin,p i {iiiiØ} {ij} {Øh} {V} n
MAA,maa,maa,m a {aaaaØ} 
MAA GEN,maa.n,maa.n,m a {aaaaØ} n
MAA PTV,maa.ta,maa.ta,m a {aaaaØ} {Øt} {aä}
MAA ESS,maa.na,maa.na,m a {aaaaØ} {nrs} {aä}
MAA ILL,maa.han,maa.han,m a {aaaaØ} {Øh} {V} n
MAA PL INE,ma.i.ssa,maØ.i.ssa,m a {aaaaØ} {ij} s s {aä}
MAA PL GENiden,ma.i.den,maØ.i.dØen,m a {aaaaØ} {ij} {dt} {Øt} e n
MAA PL GENiden,ma.i.tten,maØ.i.tten,m a {aaaaØ} {ij} {dt} {Øt} e n
MAA PL PTV,ma.i.ta,maØ.i.ta,m a {aaaaØ} {ij} {Øt} {aä}
MAA PL ILL,ma.i.hin,maØ.i.hin,m a {aaaaØ} {ij} {Øh} {V} n
PUU,puu,puu,p u {uuuuØ} 
PUU GEN,puu.n,puu.n,p u {uuuuØ} n
PUU PTV,puu.ta,puu.ta,p u {uuuuØ} {Øt} {aä}
PUU ESS,puu.na,puu.na,p u {uuuuØ} {nrs} {aä}
PUU ILL,puu.hun,puu.hun,p u {uuuuØ} {Øh} {V} n
PUU PL INE,pu.i.ssa,puØ.i.ssa,p u {uuuuØ} {ij} s s {aä}
PUU PL GENiden,pu.i.den,puØ.i.dØen,p u {uuuuØ} {ij} {dt} {Øt} e n
PUU PL GENiden,pu.i.tten,puØ.i.tten,p u {uuuuØ} {ij} {dt} {Øt} e n
PUU PL PTV,pu.i.ta,puØ.i.ta,p u {uuuuØ} {ij} {Øt} {aä}
PUU PL ILL,pu.i.hin,puØ.i.hin,p u {uuuuØ} {ij} {Øh} {V} n
SUO,suo,suo,s {uuuuØ} o 
SUO GEN,suo.n,suo.n,s {uuuuØ} o n
SUO PTV,suo.ta,suo.ta,s {uuuuØ} o {Øt} {aä}
SUO ESS,suo.na,suo.na,s {uuuuØ} o {nrs} {aä}
SUO ILL,suo.hon,suo.hon,s {uuuuØ} o {Øh} {V} n
SUO PL INE,so.i.ssa,sØo.i.ssa,s {uuuuØ} o {ij} s s {aä}
SUO PL GENiden,so.i.den,sØo.i.dØen,s {uuuuØ} o {ij} {dt} {Øt} e n
SUO PL GENiden,so.i.tten,sØo.i.tten,s {uuuuØ} o {ij} {dt} {Øt} e n
SUO PL PTV,so.i.ta,sØo.i.ta,s {uuuuØ} o {ij} {Øt} {aä}
SUO PL ILL,so.i.hin,sØo.i.hin,s {uuuuØ} o {ij} {Øh} {V} n
TUOHI,tuohi,tuohi,t u o h {ieØeØ} 
TUOHI GEN,tuohe.n,tuohe.n,t u o h {ieØeØ} n
TUOHI PTV,tuoh.ta,tuohØ.ta,t u o h {ieØeØ} {Øt} {aä}
TUOHI ESS,tuohe.na,tuohe.na,t u o h {ieØeØ} {nrs} {aä}
TUOHI ILL,tuohe.en,tuohe.Øen,t u o h {ieØeØ} {Øh} {V} n
TUOHI ILL,tuohe.hen,tuohe.hen,t u o h {ieØeØ} {Øh} {V} n
TUOHI PL INE,tuoh.i.ssa,tuohØ.i.ssa,t u o h {ieØeØ} {ij} s s {aä}
TUOHI PL GENien,tuoh.i.en,tuohØ.i.en,t u o h {ieØeØ} {ij} e n
TUOHI PLGENten,tuoh.ten,tuohØ.ten,t u o h {ieØeØ} t e n
TUOHI PL PTV,tuoh.i.a,tuohØ.i.Øa,t u o h {ieØeØ} {ij} {Øt} {aä}
TUOHI PL ILL,tuoh.i.in,tuohØ.i.Øin,t u o h {ieØeØ} {ij} {Øh} {V} n
TUOHI PL ILL,tuoh.i.hin,tuohØ.i.hin,t u o h {ieØeØ} {ij} {Øh} {V} n
LOHI,lohi,lohi,l o h {ieØeØ} 
LOHI GEN,lohe.n,lohe.n,l o h {ieØeØ} n
LOHI PTV,loh.ta,lohØ.ta,l o h {ieØeØ} {Øt} {aä}
LOHI ESS,lohe.na,lohe.na,l o h {ieØeØ} {nrs} {aä}
LOHI ILL,lohe.en,lohe.Øen,l o h {ieØeØ} {Øh} {V} n
LOHI ILL,lohe.hen,lohe.hen,l o h {ieØeØ} {Øh} {V} n
LOHI PL INE,loh.i.ssa,lohØ.i.ssa,l o h {ieØeØ} {ij} s s {aä}
LOHI PL GENien,loh.i.en,lohØ.i.en,l o h {ieØeØ} {ij} e n
LOHI PLGENten,loh.ten,lohØ.ten,l o h {ieØeØ} t e n
LOHI PL PTV,loh.i.a,lohØ.i.Øa,l o h {ieØeØ} {ij} {Øt} {aä}
LOHI PL ILL,loh.i.in,lohØ.i.Øin,l o h {ieØeØ} {ij} {Øh} {V} n
LOHI PL ILL,loh.i.hin,lohØ.i.hin,l o h {ieØeØ} {ij} {Øh} {V} n
LAHTI,lahti,lahti,l a h {tdttt} {ieeeØ} 
LAHTI GEN,lahde.n,lahde.n,l a h {tdttt} {ieeeØ} n
LAHTI PTV,lahte.a,lahte.Øa,l a h {tdttt} {ieeeØ} {Øt} {aä}
LAHTI ESS,lahte.na,lahte.na,l a h {tdttt} {ieeeØ} {nrs} {aä}
LAHTI ILL,lahte.en,lahte.Øen,l a h {tdttt} {ieeeØ} {Øh} {V} n
LAHTI ILL,lahte.hen,lahte.hen,l a h {tdttt} {ieeeØ} {Øh} {V} n
LAHTI PL INE,lahd.i.ssa,lahdØ.i.ssa,l a h {tdttt} {ieeeØ} {ij} s s {aä}
LAHTI PL GENien,laht.i.en,lahtØ.i.en,l a h {tdttt} {ieeeØ} {ij} e n
LAHTI GENin,lahte.in,lahte.in,l a h {tdttt} {ieeeØ} i n
LAHTI PL PTV,laht.i.a,lahtØ.i.Øa,l a h {tdttt} {ieeeØ} {ij} {Øt} {aä}
LAHTI PL ILL,laht.i.in,lahtØ.i.Øin,l a h {tdttt} {ieeeØ} {ij} {Øh} {V} n
LAHTI PL ILL,laht.i.hin,lahtØ.i.hin,l a h {tdttt} {ieeeØ} {ij} {Øh} {V} n
LUMI,lumi,lumi,l u {mmnmmm} {ieØeeØ} 
LUMI GEN,lume.n,lume.n,l u {mmnmmm} {ieØeeØ} n
LUMI PTV,lun.ta,lunØ.ta,l u {mmnmmm} {ieØeeØ} {Øt} {aä}
LUMI PTV,lume.a,lume.Øa,l u {mmnmmm} {ieØeeØ} {Øt} {aä}
LUMI ESS,lume.na,lume.na,l u {mmnmmm} {ieØeeØ} {nrs} {aä}
LUMI ILL,lume.en,lume.Øen,l u {mmnmmm} {ieØeeØ} {Øh} {V} n
LUMI ILL,lume.hen,lume.hen,l u {mmnmmm} {ieØeeØ} {Øh} {V} n
LUMI PL INE,lum.i.ssa,lumØ.i.ssa,l u {mmnmmm} {ieØeeØ} {ij} s s {aä}
LUMI PL GENien,lum.i.en,lumØ.i.en,l u {mmnmmm} {ieØeeØ} {ij} e n
LUMI PLGENten,lun.ten,lunØ.ten,l u {mmnmmm} {ieØeeØ} t e n
LUMI GENin,lume.in,lume.in,l u {mmnmmm} {ieØeeØ} i n
LUMI PL PTV,lum.i.a,lumØ.i.Øa,l u {mmnmmm} {ieØeeØ} {ij} {Øt} {aä}
LUMI PL ILL,lum.i.in,lumØ.i.Øin,l u {mmnmmm} {ieØeeØ} {ij} {Øh} {V} n
LUMI PL ILL,lum.i.hin,lumØ.i.hin,l u {mmnmmm} {ieØeeØ} {ij} {Øh} {V} n
TUOMI,tuomi,tuomi,t u o {mmmnmm} {ieeØeØ} 
TUOMI GEN,tuome.n,tuome.n,t u o {mmmnmm} {ieeØeØ} n
TUOMI PTV,tuome.a,tuome.Øa,t u o {mmmnmm} {ieeØeØ} {Øt} {aä}
TUOMI PTV,tuon.ta,tuonØ.ta,t u o {mmmnmm} {ieeØeØ} {Øt} {aä}
TUOMI ESS,tuome.na,tuome.na,t u o {mmmnmm} {ieeØeØ} {nrs} {aä}
TUOMI ILL,tuome.en,tuome.Øen,t u o {mmmnmm} {ieeØeØ} {Øh} {V} n
TUOMI ILL,tuome.hen,tuome.hen,t u o {mmmnmm} {ieeØeØ} {Øh} {V} n
TUOMI PL INE,tuom.i.ssa,tuomØ.i.ssa,t u o {mmmnmm} {ieeØeØ} {ij} s s {aä}
TUOMI PL GENien,tuom.i.en,tuomØ.i.en,t u o {mmmnmm} {ieeØeØ} {ij} e n
TUOMI PLGENten,tuon.ten,tuonØ.ten,t u o {mmmnmm} {ieeØeØ} t e n
TUOMI PL PTV,tuom.i.a,tuomØ.i.Øa,t u o {mmmnmm} {ieeØeØ} {ij} {Øt} {aä}
TUOMI PL ILL,tuom.i.in,tuomØ.i.Øin,t u o {mmmnmm} {ieeØeØ} {ij} {Øh} {V} n
TUOMI PL ILL,tuom.i.hin,tuomØ.i.hin,t u o {mmmnmm} {ieeØeØ} {ij} {Øh} {V} n
NIEMI,niemi,niemi,n i e {mmmnmm} {ieeØeØ} 
NIEMI GEN,nieme.n,nieme.n,n i e {mmmnmm} {ieeØeØ} n
NIEMI PTV,nieme.ä,nieme.Øä,n i e {mmmnmm} {ieeØeØ} {Øt} {aä}
NIEMI PTV,nien.tä,nienØ.tä,n i e {mmmnmm} {ieeØeØ} {Øt} {aä}
NIEMI ESS,nieme.nä,nieme.nä,n i e {mmmnmm} {ieeØeØ} {nrs} {aä}
NIEMI ILL,nieme.en,nieme.Øen,n i e {mmmnmm} {ieeØeØ} {Øh} {V} n
NIEMI ILL,nieme.hen,nieme.hen,n i e {mmmnmm} {ieeØeØ} {Øh} {V} n
NIEMI PL INE,niem.i.ssä,niemØ.i.ssä,n i e {mmmnmm} {ieeØeØ} {ij} s s {aä}
NIEMI PL GENien,niem.i.en,niemØ.i.en,n i e {mmmnmm} {ieeØeØ} {ij} e n
NIEMI PLGENten,nien.ten,nienØ.ten,n i e {mmmnmm} {ieeØeØ} t e n
NIEMI PL PTV,niem.i.ä,niemØ.i.Øä,n i e {mmmnmm} {ieeØeØ} {ij} {Øt} {aä}
NIEMI PL ILL,niem.i.in,niemØ.i.Øin,n i e {mmmnmm} {ieeØeØ} {ij} {Øh} {V} n
NIEMI PL ILL,niem.i.hin,niemØ.i.hin,n i e {mmmnmm} {ieeØeØ} {ij} {Øh} {V} n
PIENI,pieni,pieni,p i e n {ieØeØØ} 
PIENI GEN,piene.n,piene.n,p i e n {ieØeØØ} n
PIENI PTV,pien.tä,pienØ.tä,p i e n {ieØeØØ} {Øt} {aä}
PIENI ESS,piene.nä,piene.nä,p i e n {ieØeØØ} {nrs} {aä}
PIENI ESS,pien.nä,pienØ.nä,p i e n {ieØeØØ} {nrs} {aä}
PIENI ILL,piene.en,piene.Øen,p i e n {ieØeØØ} {Øh} {V} n
PIENI ILL,piene.hen,piene.hen,p i e n {ieØeØØ} {Øh} {V} n
PIENI PL INE,pien.i.ssä,pienØ.i.ssä,p i e n {ieØeØØ} {ij} s s {aä}
PIENI PL GENien,pien.i.en,pienØ.i.en,p i e n {ieØeØØ} {ij} e n
PIENI PLGENten,pien.ten,pienØ.ten,p i e n {ieØeØØ} t e n
PIENI PL PTV,pien.i.ä,pienØ.i.Øä,p i e n {ieØeØØ} {ij} {Øt} {aä}
PIENI PL ILL,pien.i.in,pienØ.i.Øin,p i e n {ieØeØØ} {ij} {Øh} {V} n
PIENI PL ILL,pien.i.hin,pienØ.i.hin,p i e n {ieØeØØ} {ij} {Øh} {V} n
NUORI,nuori,nuori,n u o r {ieØeØØØ} 
NUORI GEN,nuore.n,nuore.n,n u o r {ieØeØØØ} n
NUORI PTV,nuor.ta,nuorØ.ta,n u o r {ieØeØØØ} {Øt} {aä}
NUORI ESS,nuore.na,nuore.na,n u o r {ieØeØØØ} {nrs} {aä}
NUORI ESS,nuor.na,nuorØ.na,n u o r {ieØeØØØ} {nrs} {aä}
NUORI ESS,nuor.ra,nuorØ.ra,n u o r {ieØeØØØ} {nrs} {aä}
NUORI ILL,nuore.en,nuore.Øen,n u o r {ieØeØØØ} {Øh} {V} n
NUORI ILL,nuore.hen,nuore.hen,n u o r {ieØeØØØ} {Øh} {V} n
NUORI PL INE,nuor.i.ssa,nuorØ.i.ssa,n u o r {ieØeØØØ} {ij} s s {aä}
NUORI PL GENien,nuor.i.en,nuorØ.i.en,n u o r {ieØeØØØ} {ij} e n
NUORI PLGENten,nuor.ten,nuorØ.ten,n u o r {ieØeØØØ} t e n
NUORI PL PTV,nuor.i.a,nuorØ.i.Øa,n u o r {ieØeØØØ} {ij} {Øt} {aä}
NUORI PL ILL,nuor.i.in,nuorØ.i.Øin,n u o r {ieØeØØØ} {ij} {Øh} {V} n
NUORI PL ILL,nuor.i.hin,nuorØ.i.hin,n u o r {ieØeØØØ} {ij} {Øh} {V} n
KÄSI,käsi,käsi,k ä {sdtts} {ieØeØ} 
KÄSI GEN,käde.n,käde.n,k ä {sdtts} {ieØeØ} n
KÄSI PTV,kät.tä,kätØ.tä,k ä {sdtts} {ieØeØ} {Øt} {aä}
KÄSI ESS,käte.nä,käte.nä,k ä {sdtts} {ieØeØ} {nrs} {aä}
KÄSI ILL,käte.en,käte.Øen,k ä {sdtts} {ieØeØ} {Øh} {V} n
KÄSI ILL,käte.hen,käte.hen,k ä {sdtts} {ieØeØ} {Øh} {V} n
KÄSI PL INE,käs.i.ssä,käsØ.i.ssä,k ä {sdtts} {ieØeØ} {ij} s s {aä}
KÄSI PL GENien,käs.i.en,käsØ.i.en,k ä {sdtts} {ieØeØ} {ij} e n
KÄSI PLGENten,kät.ten,kätØ.ten,k ä {sdtts} {ieØeØ} t e n
KÄSI GENin,käte.in,käte.in,k ä {sdtts} {ieØeØ} i n
KÄSI PL PTV,käs.i.ä,käsØ.i.Øä,k ä {sdtts} {ieØeØ} {ij} {Øt} {aä}
KÄSI PL ILL,käs.i.in,käsØ.i.Øin,k ä {sdtts} {ieØeØ} {ij} {Øh} {V} n
KÄSI PL ILL,käs.i.hin,käsØ.i.hin,k ä {sdtts} {ieØeØ} {ij} {Øh} {V} n
TOSI,tosi,tosi,t o {sdtts} {ieØeØ} 
TOSI GEN,tode.n,tode.n,t o {sdtts} {ieØeØ} n
TOSI PTV,tot.ta,totØ.ta,t o {sdtts} {ieØeØ} {Øt} {aä}
TOSI ESS,tote.na,tote.na,t o {sdtts} {ieØeØ} {nrs} {aä}
TOSI ILL,tote.en,tote.Øen,t o {sdtts} {ieØeØ} {Øh} {V} n
TOSI ILL,tote.hen,tote.hen,t o {sdtts} {ieØeØ} {Øh} {V} n
TOSI PL INE,tos.i.ssa,tosØ.i.ssa,t o {sdtts} {ieØeØ} {ij} s s {aä}
TOSI PL GENien,tos.i.en,tosØ.i.en,t o {sdtts} {ieØeØ} {ij} e n
TOSI PL PTV,tos.i.a,tosØ.i.Øa,t o {sdtts} {ieØeØ} {ij} {Øt} {aä}
TOSI PL ILL,tos.i.in,tosØ.i.Øin,t o {sdtts} {ieØeØ} {ij} {Øh} {V} n
TOSI PL ILL,tos.i.hin,tosØ.i.hin,t o {sdtts} {ieØeØ} {ij} {Øh} {V} n
HIRSI,hirsi,hirsi,h i r {srtts} {ieØeØ} 
HIRSI GEN,hirre.n,hirre.n,h i r {srtts} {ieØeØ} n
HIRSI PTV,hirt.tä,hirtØ.tä,h i r {srtts} {ieØeØ} {Øt} {aä}
HIRSI ESS,hirte.nä,hirte.nä,h i r {srtts} {ieØeØ} {nrs} {aä}
HIRSI ILL,hirte.en,hirte.Øen,h i r {srtts} {ieØeØ} {Øh} {V} n
HIRSI ILL,hirte.hen,hirte.hen,h i r {srtts} {ieØeØ} {Øh} {V} n
HIRSI PL INE,hirs.i.ssä,hirsØ.i.ssä,h i r {srtts} {ieØeØ} {ij} s s {aä}
HIRSI PL GENien,hirs.i.en,hirsØ.i.en,h i r {srtts} {ieØeØ} {ij} e n
HIRSI PLGENten,hirt.ten,hirtØ.ten,h i r {srtts} {ieØeØ} t e n
HIRSI PL PTV,hirs.i.ä,hirsØ.i.Øä,h i r {srtts} {ieØeØ} {ij} {Øt} {aä}
HIRSI PL ILL,hirs.i.in,hirsØ.i.Øin,h i r {srtts} {ieØeØ} {ij} {Øh} {V} n
HIRSI PL ILL,hirs.i.hin,hirsØ.i.hin,h i r {srtts} {ieØeØ} {ij} {Øh} {V} n
JÄLSI,jälsi,jälsi,j ä l {sltts} {ieØeØ} 
JÄLSI GEN,jälle.n,jälle.n,j ä l {sltts} {ieØeØ} n
JÄLSI PTV,jält.tä,jältØ.tä,j ä l {sltts} {ieØeØ} {Øt} {aä}
JÄLSI ESS,jälte.nä,jälte.nä,j ä l {sltts} {ieØeØ} {nrs} {aä}
JÄLSI ILL,jälte.en,jälte.Øen,j ä l {sltts} {ieØeØ} {Øh} {V} n
JÄLSI ILL,jälte.hen,jälte.hen,j ä l {sltts} {ieØeØ} {Øh} {V} n
JÄLSI PL INE,jäls.i.ssä,jälsØ.i.ssä,j ä l {sltts} {ieØeØ} {ij} s s {aä}
JÄLSI PL GENien,jäls.i.en,jälsØ.i.en,j ä l {sltts} {ieØeØ} {ij} e n
JÄLSI PLGENten,jält.ten,jältØ.ten,j ä l {sltts} {ieØeØ} t e n
JÄLSI PL PTV,jäls.i.ä,jälsØ.i.Øä,j ä l {sltts} {ieØeØ} {ij} {Øt} {aä}
JÄLSI PL ILL,jäls.i.in,jälsØ.i.Øin,j ä l {sltts} {ieØeØ} {ij} {Øh} {V} n
JÄLSI PL ILL,jäls.i.hin,jälsØ.i.hin,j ä l {sltts} {ieØeØ} {ij} {Øh} {V} n
KANSI,kansi,kansi,k a n {sntts} {ieØeØ} 
KANSI GEN,kanne.n,kanne.n,k a n {sntts} {ieØeØ} n
KANSI PTV,kant.ta,kantØ.ta,k a n {sntts} {ieØeØ} {Øt} {aä}
KANSI ESS,kante.na,kante.na,k a n {sntts} {ieØeØ} {nrs} {aä}
KANSI ILL,kante.en,kante.Øen,k a n {sntts} {ieØeØ} {Øh} {V} n
KANSI ILL,kante.hen,kante.hen,k a n {sntts} {ieØeØ} {Øh} {V} n
KANSI PL INE,kans.i.ssa,kansØ.i.ssa,k a n {sntts} {ieØeØ} {ij} s s {aä}
KANSI PL GENien,kans.i.en,kansØ.i.en,k a n {sntts} {ieØeØ} {ij} e n
KANSI PLGENten,kant.ten,kantØ.ten,k a n {sntts} {ieØeØ} t e n
KANSI PL PTV,kans.i.a,kansØ.i.Øa,k a n {sntts} {ieØeØ} {ij} {Øt} {aä}
KANSI PL ILL,kans.i.in,kansØ.i.Øin,k a n {sntts} {ieØeØ} {ij} {Øh} {V} n
KANSI PL ILL,kans.i.hin,kansØ.i.hin,k a n {sntts} {ieØeØ} {ij} {Øh} {V} n
LAPSI,lapsi,lapsi,l a {ppØpØØp} s {ieØeØØØ} 
LAPSI GEN,lapse.n,lapse.n,l a {ppØpØØp} s {ieØeØØØ} n
LAPSI PTV,las.ta,laØsØ.ta,l a {ppØpØØp} s {ieØeØØØ} {Øt} {aä}
LAPSI ESS,lapse.na,lapse.na,l a {ppØpØØp} s {ieØeØØØ} {nrs} {aä}
LAPSI ESS,las.na,laØsØ.na,l a {ppØpØØp} s {ieØeØØØ} {nrs} {aä}
LAPSI ESS,las.sa,laØsØ.sa,l a {ppØpØØp} s {ieØeØØØ} {nrs} {aä}
LAPSI ILL,lapse.en,lapse.Øen,l a {ppØpØØp} s {ieØeØØØ} {Øh} {V} n
